URN,FolioURN,CollectionDate,ImgURN
urn:cite:botcar:LordSpecimens.1,urn:cite:botcar:LordFolios.HS158_005,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS158_005_2375@0.2022,0.0848,0.4825,0.165"
urn:cite:botcar:LordSpecimens.2,urn:cite:botcar:LordFolios.HS158_005,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS158_005_2375@0.6917,0.1014,0.2843,0.2956"
urn:cite:botcar:LordSpecimens.3,urn:cite:botcar:LordFolios.HS158_005,1707-12-12,"urn:cite:fufolioimg:BotCarLord.Lord_HS158_005_2375@0.1351,0.3095,0.5746,0.4924"
urn:cite:botcar:LordSpecimens.4,urn:cite:botcar:LordFolios.HS158_016,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS158_016_2376@0.0921,0.0292,0.8228,0.784"
urn:cite:botcar:LordSpecimens.5,urn:cite:botcar:LordFolios.HS158_016,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS158_016_2376@0.0891,0.6395,0.3153,0.228"
urn:cite:botcar:LordSpecimens.6,urn:cite:botcar:LordFolios.HS158_017,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS158_017_2377@0.2292,0.0311,0.5596,0.8681"
urn:cite:botcar:LordSpecimens.7,urn:cite:botcar:LordFolios.HS158_018,1707-12-12,"urn:cite:fufolioimg:BotCarLord.Lord_HS158_018_2378@0.3894,0.061,0.5405,0.5275"
urn:cite:botcar:LordSpecimens.8,urn:cite:botcar:LordFolios.HS158_018,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS158_018_2378@0.1021,0.5573,0.4164,0.3678"
urn:cite:botcar:LordSpecimens.9,urn:cite:botcar:LordFolios.HS158_213,1707-11-08,"urn:cite:fufolioimg:BotCarLord.Lord_HS158_213_2379@0.0871,0.0716,0.4885,0.6673"
urn:cite:botcar:LordSpecimens.10,urn:cite:botcar:LordFolios.HS158_245,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS158_245_2381@0.1371,0.0855,0.7287,0.3605"
urn:cite:botcar:LordSpecimens.11,urn:cite:botcar:LordFolios.HS158_245,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS158_245_2381@0.1421,0.5586,0.4795,0.2472"
urn:cite:botcar:LordSpecimens.12,urn:cite:botcar:LordFolios.HS158_245,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS158_245_2381@0.5786,0.4208,0.1532,0.5103"
urn:cite:botcar:LordSpecimens.13,urn:cite:botcar:LordFolios.HS159_028,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS159_028_2383@0.0951,0.0848,0.4424,0.8197"
urn:cite:botcar:LordSpecimens.14,urn:cite:botcar:LordFolios.HS159_028,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS159_028_2383@0.5475,0.0981,0.4064,0.7906"
urn:cite:botcar:LordSpecimens.15,urn:cite:botcar:LordFolios.HS159_212,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS159_212_2384@0.0631,0.0749,0.2953,0.5056"
urn:cite:botcar:LordSpecimens.16,urn:cite:botcar:LordFolios.HS159_212,1699-06-24,"urn:cite:fufolioimg:BotCarLord.Lord_HS159_212_2384@0.5175,0.0994,0.3894,0.3287"
urn:cite:botcar:LordSpecimens.17,urn:cite:botcar:LordFolios.HS159_212,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS159_212_2384@0.1632,0.5215,0.3163,0.1703"
urn:cite:botcar:LordSpecimens.18,urn:cite:botcar:LordFolios.HS159_212,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS159_212_2384@0.2322,0.4751,0.5806,0.4314"
urn:cite:botcar:LordSpecimens.19,urn:cite:botcar:LordFolios.HS159_212,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS159_212_2384@0.5886,0.727,0.2673,0.1803"
urn:cite:botcar:LordSpecimens.20,urn:cite:botcar:LordFolios.HS159_212,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS159_212_2384@0.3293,0.279,0.2432,0.2816"





//////////////// 200 series////////////
urn:cite:botcar:LordSpecimens.9,urn:cite:botcar:LordFolios.HS267_074,1704-9-,"urn:cite:fufolioimg:BotCarLord.Lord_HS267_074_2251@0.1592,0.0616,0.6697,0.9324"





/////////////// 284 Series ///////////
urn:cite:botcar:LordSpecimens.69,urn:cite:botcar:LordFolios.HS284_40,none,"urn:cite:fufolioimg:BotCarLord.Lord_HS284_040_2313@0.026,0.0861,0.3524,0.8469"
urn:cite:botcar:LordSpecimens.70,urn:cite:botcar:LordFolios.HS284_40,1704-09-12,"urn:cite:fufolioimg:BotCarLord.Lord_HS284_040_2313@0.3664,0.0358,0.4074,0.9198"
urn:cite:botcar:LordSpecimens.71,urn:cite:botcar:LordFolios.HS284_42,1704-07-14,"urn:cite:fufolioimg:BotCarLord.Lord_HS284_042_2315@0.2402,0.0842,0.5976,0.8516"
urn:cite:botcar:LordSpecimens.72,urn:cite:botcar:LordFolios.HS284_43,1704-09-07,"urn:cite:fufolioimg:BotCarLord.Lord_HS284_043_2316@0.0871,0.0437,0.7397,0.882"
urn:cite:botcar:LordSpecimens.73,urn:cite:botcar:LordFolios.HS284_45,1704-06-15,"urn:cite:fufolioimg:BotCarLord.Lord_HS284_045_2317@0.1241,0.1146,0.7487,0.8482"
urn:cite:botcar:LordSpecimens.74,urn:cite:botcar:LordFolios.HS284_47,1704-10-15,"urn:cite:fufolioimg:BotCarLord.Lord_HS284_047_2318@0.0701,0.0822,0.7297,0.888"
